capture_id,view_id,rôle,état,viewport,orientation,priorité,données_requises,capture_obligatoire,motif,peut_être_dédupliquée,référence_déduplication
CP001,V001,public,loading,375x812,portrait,P1,session_absente,oui,Entrée application,non,
CP002,V002,public,default,375x812,portrait,P0,aucune,oui,Risque responsive connu,non,
CP003,V002,public,default,390x844,portrait,P0,aucune,oui,Mobile large,non,
CP004,V002,public,default,768x1024,portrait,P0,aucune,oui,Tablette,non,
CP005,V002,public,default,1366x768,paysage,P0,aucune,oui,Desktop,non,
CP006,V002,public,default,1440x900,paysage,P0,aucune,oui,Risque responsive connu,non,
CP007,V002,public,validation_error,375x812,portrait,P1,identifiants invalides,oui,Feedback auth,non,
CP008,V003,public,default,375x812,portrait,P1,email OTP,oui,Dialog reset,non,
CP009,V004,public,default,375x812,portrait,P1,profil candidat,oui,Join sheet,non,
CP010,V006,public,default,390x844,portrait,P2,aucune,oui,Onboarding,non,
CP011,V008,candidate,default,375x812,portrait,P1,code invalide,oui,Suivi public,non,
CP012,V009,candidate,loaded,768x1024,portrait,P1,candidature par statut,oui,Quatre statuts,non,
CP013,V010,admin,default,1366x768,paysage,P1,badges routes admin,oui,Menu riche,non,
CP014,V010,alumni,default,1366x768,paysage,P1,routes alumni,oui,Menu restreint,non,
CP015,V012,member,default,375x812,portrait,P1,badges,oui,Navigation cinq items,non,
CP016,V012,admin,route_hors_top5,375x812,portrait,P1,route impact,oui,Remplacement destination,non,
CP017,V013,admin,loaded,1440x900,paysage,P1,dashboard dense,oui,Vue globale,non,
CP018,V013,team_leader,loaded,1366x768,paysage,P1,dashboard dense,oui,Variation role,non,
CP019,V013,secretary,loaded,1024x768,paysage,P1,presences alertes,oui,Variation role,non,
CP020,V013,finance,loaded,1024x768,paysage,P1,paiements alertes,oui,Variation role,non,
CP021,V013,pole_lead,loaded,768x1024,portrait,P1,pole projets,oui,Variation role,non,
CP022,V013,pole_deputy,loaded,768x1024,portrait,P1,pole projets,oui,Action difference,non,
CP023,V013,project_lead,loaded,768x1024,portrait,P1,projet taches,oui,Variation role,non,
CP024,V013,member,loaded,375x812,portrait,P1,taches posts,oui,Vue personnelle,non,
CP025,V013,alumni,loaded,375x812,portrait,P1,mentorat events,oui,Vue alumni,non,
CP026,V013,multi_role,loaded,1440x900,paysage,P1,admin member pole,oui,Precedence roles,non,
CP027,V017,admin,loaded,1366x768,paysage,P1,200 membres,oui,Liste dense,non,
CP028,V018,admin,loaded,768x1024,portrait,P1,profil multi-role,oui,Detail membre,non,
CP029,V019,admin,destructive_confirmation,390x844,portrait,P1,membre lifecycle,oui,Action sensible,non,
CP030,V020,admin,partial_data,1366x768,paysage,P1,csv doublon,oui,Import,non,
CP031,V021,secretary,loaded,1366x768,paysage,P1,sessions statuts,oui,Presence,non,
CP032,V023,secretary,partial_data,768x1024,portrait,P1,justificatifs QR,oui,Detail session,non,
CP033,V024,member,permission_denied,375x812,portrait,P1,camera denied,oui,QR permission,non,
CP034,V025,secretary,offline,375x812,portrait,P1,NFC unavailable,oui,NFC native,non,
CP035,V027,member,loaded,375x812,portrait,P1,24 taches,oui,Liste personnelle,non,
CP036,V028,pole_lead,validation_error,768x1024,portrait,P1,tache invalide,oui,Form task,non,
CP037,V030,finance,loaded,1440x900,paysage,P1,finance dense,oui,Dashboard finance,non,
CP038,V031,member,offline,375x812,portrait,P1,payment pending,oui,Mobile Money,non,
CP039,V033,member,loaded,1366x768,paysage,P1,documents mixes,oui,Bibliotheque,non,
