numero,domaine,vue,role,viewport,etat,fichier,reussite,probleme_visible,erreur_console_inattendue,erreur_reseau_inattendue,font_loaded,font_source,text_render_verified,commentaire
01,auth,connexion,public,390x844,default,docs/audits/ui_catalog/screenshots/master/01__auth__connexion__public__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
02,auth,connexion,public,768x1024,default,docs/audits/ui_catalog/screenshots/master/02__auth__connexion__public__768x1024.png,true,,false,false,true,google_fonts_audit_allowlist,true,
03,auth,connexion,public,1440x900,default,docs/audits/ui_catalog/screenshots/master/03__auth__connexion__public__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
04,auth,identifiants_invalides,public,390x844,invalid_login,docs/audits/ui_catalog/screenshots/master/04__auth__identifiants_invalides__public__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
05,auth,mot_de_passe_oublie,public,390x844,forgot_password,docs/audits/ui_catalog/screenshots/master/05__auth__mot_de_passe_oublie__public__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
06,shell,membre_mobile,member,390x844,default,docs/audits/ui_catalog/screenshots/master/06__shell__membre_mobile__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
07,shell,administrateur_desktop,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/07__shell__administrateur_desktop__admin__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
08,shell,financier_tablette,finance,768x1024,default,docs/audits/ui_catalog/screenshots/master/08__shell__financier_tablette__finance__768x1024.png,true,,false,false,true,google_fonts_audit_allowlist,true,
09,dashboard,admin_dense,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/09__dashboard__admin_dense__admin__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
10,dashboard,membre_mobile,member,390x844,default,docs/audits/ui_catalog/screenshots/master/10__dashboard__membre_mobile__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
11,dashboard,financier,finance,1366x768,default,docs/audits/ui_catalog/screenshots/master/11__dashboard__financier__finance__1366x768.png,true,,false,false,true,google_fonts_audit_allowlist,true,
12,dashboard,chef_pole,polelead,1440x900,default,docs/audits/ui_catalog/screenshots/master/12__dashboard__chef_pole__polelead__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
13,membres,liste,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/13__membres__liste__admin__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
14,membres,liste,admin,390x844,default,docs/audits/ui_catalog/screenshots/master/14__membres__liste__admin__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
15,membres,profil_complet,admin,768x1024,member_profile,docs/audits/ui_catalog/screenshots/master/15__membres__profil_complet__admin__768x1024.png,true,,false,false,true,google_fonts_audit_allowlist,true,
16,membres,modification,admin,1440x900,member_edit,docs/audits/ui_catalog/screenshots/master/16__membres__modification__admin__1440x900.png,false,state_not_confirmed,false,false,true,google_fonts_audit_allowlist,true,Member edit action is not available.
17,presence,gestion,secretary,1440x900,default,docs/audits/ui_catalog/screenshots/master/17__presence__gestion__secretary__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
18,presence,suivi_personnel,member,390x844,attendance_personal,docs/audits/ui_catalog/screenshots/master/18__presence__suivi_personnel__member__390x844.png,false,state_not_confirmed,false,false,true,google_fonts_audit_allowlist,true,Personal attendance tab is not available.
19,presence,session_ouverte,secretary,1024x768,attendance_detail,docs/audits/ui_catalog/screenshots/master/19__presence__session_ouverte__secretary__1024x768.png,true,,false,false,true,google_fonts_audit_allowlist,true,
20,presence,qr_nfc,secretary,390x844,default,docs/audits/ui_catalog/screenshots/master/20__presence__qr_nfc__secretary__390x844.png,false,,false,true,true,google_fonts_audit_allowlist,true,Capture created with an unexpected runtime or network signal.
21,taches,liste,member,390x844,default,docs/audits/ui_catalog/screenshots/master/21__taches__liste__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
22,taches,liste_dense,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/22__taches__liste_dense__admin__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
23,finance,generale,finance,1366x768,default,docs/audits/ui_catalog/screenshots/master/23__finance__generale__finance__1366x768.png,true,,false,false,true,google_fonts_audit_allowlist,true,
24,finance,paiement_actions,finance,1366x768,finance_menu,docs/audits/ui_catalog/screenshots/master/24__finance__paiement_actions__finance__1366x768.png,true,,false,false,true,google_fonts_audit_allowlist,true,
25,finance,dialogue_rejet,finance,1366x768,finance_reject,docs/audits/ui_catalog/screenshots/master/25__finance__dialogue_rejet__finance__1366x768.png,true,,false,false,true,google_fonts_audit_allowlist,true,
26,finance,mobile_money,member,390x844,mobile_money,docs/audits/ui_catalog/screenshots/master/26__finance__mobile_money__member__390x844.png,false,state_not_confirmed,false,false,true,google_fonts_audit_allowlist,true,Mobile Money payment action is not available.
27,recrutement,campagnes,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/27__recrutement__campagnes__admin__1440x900.png,false,,true,false,true,google_fonts_audit_allowlist,true,Capture created with an unexpected runtime or network signal.
28,recrutement,candidature_detail,admin,1024x768,recruitment_detail,docs/audits/ui_catalog/screenshots/master/28__recrutement__candidature_detail__admin__1024x768.png,false,state_not_confirmed,false,false,true,google_fonts_audit_allowlist,true,Recruitment detail action is not available.
29,documents,bibliotheque,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/29__documents__bibliotheque__admin__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
30,documents,depot,admin,768x1024,document_dialog,docs/audits/ui_catalog/screenshots/master/30__documents__depot__admin__768x1024.png,false,state_not_confirmed,false,false,true,google_fonts_audit_allowlist,true,Document deposit action is not available.
31,communaute,publications,member,390x844,default,docs/audits/ui_catalog/screenshots/master/31__communaute__publications__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
32,communaute,conversations,member,1440x900,default,docs/audits/ui_catalog/screenshots/master/32__communaute__conversations__member__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
33,communaute,conversation_messages,member,390x844,chat_conversation,docs/audits/ui_catalog/screenshots/master/33__communaute__conversation_messages__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
34,communaute,groupe_discussion,member,1366x768,chat_group,docs/audits/ui_catalog/screenshots/master/34__communaute__groupe_discussion__member__1366x768.png,true,,false,false,true,google_fonts_audit_allowlist,true,
35,organisation,poles,member,390x844,default,docs/audits/ui_catalog/screenshots/master/35__organisation__poles__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
36,organisation,fiche_pole,polelead,1440x900,pole_detail,docs/audits/ui_catalog/screenshots/master/36__organisation__fiche_pole__polelead__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
37,organisation,projets,member,1440x900,default,docs/audits/ui_catalog/screenshots/master/37__organisation__projets__member__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
38,organisation,detail_projet,polelead,768x1024,project_detail,docs/audits/ui_catalog/screenshots/master/38__organisation__detail_projet__polelead__768x1024.png,true,,false,false,true,google_fonts_audit_allowlist,true,
39,parcours,academy,member,390x844,default,docs/audits/ui_catalog/screenshots/master/39__parcours__academy__member__390x844.png,true,,false,false,true,google_fonts_audit_allowlist,true,
40,parcours,alumni,alumni,1440x900,default,docs/audits/ui_catalog/screenshots/master/40__parcours__alumni__alumni__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
41,impact,dashboard,admin,1440x900,default,docs/audits/ui_catalog/screenshots/master/41__impact__dashboard__admin__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
42,archives,dimbali,alumni,1440x900,archive_detail,docs/audits/ui_catalog/screenshots/master/42__archives__dimbali__alumni__1440x900.png,true,,false,false,true,google_fonts_audit_allowlist,true,
