"capture_id","domaine","vue","role","etat","viewport","orientation","priorite","donnees_requises","scenario_driver","setup_action","expected_marker","teardown_action","capture_mode","auth_mode","route_mode"
"PILOT001","auth","splash","public","loading","375x812","portrait","P0","session_absent","splash_bootstrap","clear_storage; open_app","text:EnactSpace","clear_storage; close_target; restore_network","screenshot_after_driver_validation","public","/splash"
"PILOT002","auth","splash","public","loading","1366x768","landscape","P0","session_absent","splash_bootstrap","clear_storage; open_app","text:EnactSpace","clear_storage; close_target; restore_network","screenshot_after_driver_validation","public","/splash"
"PILOT003","auth","login","public","default","375x812","portrait","P0","nominal","login_form","clear_storage; navigate_login","text:Connexion","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT004","auth","login","public","default","1366x768","landscape","P0","nominal","login_form","clear_storage; navigate_login","text:Connexion","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT005","auth","login","public","validation_error","375x812","portrait","P0","invalid_credentials","invalid_login","submit_invalid_credentials","text:Identifiants","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT006","auth","login","public","validation_error","1366x768","landscape","P0","invalid_credentials","invalid_login","submit_invalid_credentials","text:Identifiants","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT007","auth","login","public","disabled_account","390x844","portrait","P1","inactive_user","disabled_login","submit_inactive_credentials","text:Compte","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT008","auth","login","public","disabled_account","768x1024","portrait","P1","inactive_user","disabled_login","submit_inactive_credentials","text:Compte","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT009","auth","login","public","disabled_account","1440x900","landscape","P1","inactive_user","disabled_login","submit_inactive_credentials","text:Compte","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT010","auth","login","public","password_visible","390x844","portrait","P2","nominal","password_toggle","toggle_password_visibility","input:password","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT011","auth","login","public","password_visible","768x1024","portrait","P2","nominal","password_toggle","toggle_password_visibility","input:password","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT012","auth","login","public","password_visible","1440x900","landscape","P2","nominal","password_toggle","toggle_password_visibility","input:password","clear_storage; close_target; restore_network","screenshot_after_driver_validation","form","/login"
"PILOT013","auth","recovery","public","default","390x844","portrait","P1","nominal","password_recovery","open_password_recovery","text:Mot de passe","clear_storage; close_target; restore_network","screenshot_after_driver_validation","public","/login"
"PILOT014","auth","recovery","public","default","768x1024","portrait","P1","nominal","password_recovery","open_password_recovery","text:Mot de passe","clear_storage; close_target; restore_network","screenshot_after_driver_validation","public","/login"
"PILOT015","auth","recovery","public","default","1440x900","landscape","P1","nominal","password_recovery","open_password_recovery","text:Mot de passe","clear_storage; close_target; restore_network","screenshot_after_driver_validation","public","/login"
"PILOT016","auth","login","member","session_expired","375x812","portrait","P0","expired_token","expired_session","inject_expired_token; navigate_dashboard","text:Connexion","clear_storage; close_target; restore_network","screenshot_after_driver_validation","expired_token","/dashboard"
