"selector_id","domaine","fichier","classe","methode","ligne","widget","variable_controlee","type","options_source","permission_dependency","mobile","desktop","validation","capture_dediee","lexical_occurrences_total","probable_instances_total","validated_instances_total","duplicates_grouped_total","commentaire"
"SEL001","alumni","frontend/lib/features/alumni/screens/alumni_screen.dart","_AlumniToolbar","build","597","DropdownButtonFormField","not_detected","status_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL002","alumni","frontend/lib/features/alumni/screens/alumni_screen.dart","_CreateProfileSheetState","build","1082","DropdownButtonFormField","member.id","member_picker","_availableMembers.map","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL003","alumni","frontend/lib/features/alumni/screens/alumni_screen.dart","_CreateProfileSheetState","build","1163","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL004","alumni","frontend/lib/features/alumni/screens/alumni_screen.dart","_CreateMentorshipSheetState","build","1286","DropdownButtonFormField","profile.userId","member_picker","mentorProfiles.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL005","alumni","frontend/lib/features/alumni/screens/alumni_screen.dart","_CreateMentorshipSheetState","build","1323","DropdownButtonFormField","project.id","project_picker","widget.projects.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL006","alumni","frontend/lib/features/alumni/screens/alumni_screen.dart","_CreateMentorshipSheetState","setState","1344","DropdownButtonFormField","project.id","pole_picker","widget.poles.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL007","attendance","frontend/lib/features/attendance/screens/attendance_screen.dart","_CreateAttendanceSessionDialogState","if","1471","DropdownButtonFormField","not_detected","pole_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL008","attendance","frontend/lib/features/attendance/screens/attendance_screen.dart","_CreateAttendanceSessionDialogState","setState","1509","DropdownButtonFormField","not_detected","pole_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL009","attendance","frontend/lib/features/attendance/screens/attendance_screen.dart","_CreateAttendanceSessionDialogState","if","1545","DropdownButtonFormField","pole.id","pole_picker","_poles","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL010","attendance","frontend/lib/features/attendance/screens/attendance_screen.dart","_CreateAttendanceSessionDialogState","if","1571","DropdownButtonFormField","project.id","pole_picker","_projects","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
