view_id,domaine,route_id,ecran,sous_vue,type_vue,fichier,widget,methode,ecran_parent,declencheur,roles,permissions,données_requises,mobile,tablette,desktop,états_identifiés,priorité,commentaire
V001,auth,R01,Splash,initialisation,page,features/splash/screens/splash_screen.dart,SplashScreen,initState,root,ouverture app,tous,aucune,token session,oui,oui,oui,loading|session_expired,P1,Redirection login/dashboard
V002,auth,R02,Connexion,formulaire,page,features/auth/screens/login_screen.dart,LoginScreen,_login,root,route ou splash,tous,aucune,email mot de passe,oui,oui,oui,default|loading|validation_error|network_error|session_expired|long_content,P0,Rendu responsive prioritaire
V003,auth,R02,Connexion,mot_de_passe_oublié,dialog,features/auth/screens/login_screen.dart,_ForgotPasswordDialog,_showForgotPasswordDialog,Connexion,bouton oublie,tous,aucune,email OTP,oui,oui,oui,default|validation_error|success|network_error,P1,Code et expiration runtime_required
V004,auth,R02,Connexion,rejoindre_enactus,bottom_sheet,features/auth/screens/login_screen.dart,_JoinEnactusSheet,_showJoinRequestSheet,Connexion,compte enacteur/alumni,public,aucune,profil demande,oui,oui,oui,default|loading|validation_error|success|long_content,P1,Formulaire multi-etapes local
V005,auth,R02,Connexion,acces_recrutement,dialog,features/auth/screens/login_screen.dart,_RecruitmentAccessDialog,_showRecruitmentDialog,Connexion,postuler,public,aucune,campagne active,oui,oui,oui,default|empty|server_error,P2,Redirige vers formulaire local recrutement
V006,auth,R02,Connexion,guide_debutant,dialog,features/auth/screens/login_screen.dart,_BeginnerGuideDialog,_showGuideDialog,Connexion,guide,tous,aucune,aucune,oui,oui,oui,default|long_content,P2,Onboarding a receter
V007,auth,R02,Connexion,biometrie,dialog,features/auth/screens/login_screen.dart,_BiometricSetupDialog,_showBiometricDialog,Connexion,biometrie,tous,appareil compatible,capacite appareil,oui,oui,oui,default|permission_denied|offline,P2,Capacite native a confirmer
V008,recruitment,R03,Suivi candidature,formulaire,page,features/recruitment/screens/application_tracking_screen.dart,ApplicationTrackingScreen,_track,root,route ou login,candidat,aucune,code email,oui,oui,oui,default|loading|validation_error|network_error|long_content,P1,Public
V009,recruitment,R03,Suivi candidature,resultat,embedded_panel,features/recruitment/screens/application_tracking_screen.dart,_TrackingResult,_track,Suivi candidature,recherche valide,candidat,aucune,candidature et statut,oui,oui,oui,loaded|empty|server_error,P1,Attente accepte rejet inexistant
V010,shell,shared,Navigation,sidebar,drawer,shared/layout/app_shell.dart,_SideMenu,AppShell,desktop,tous connectes,visibleRoutesFor,user role badges,non,oui,oui,default|permission_denied|offline,P1,Routes masquees par role
V011,shell,shared,Navigation,topbar,embedded_panel,shared/layout/app_shell.dart,_TopBar,AppShell,desktop,tous connectes,aucune,titre badges,non,oui,oui,default|loading|offline,P2,Refresh et logout
V012,shell,shared,Navigation,bottom_navigation,menu,shared/layout/app_shell.dart,_MobileBottomNavigation,AppShell,mobile,tous connectes,visibleRoutesFor,badges role,oui,non,non,default|permission_denied|long_content,P1,Cinq destinations seulement
V013,dashboard,R04,Dashboard,vue_role,page,features/dashboard/screens/dashboard_screen.dart,DashboardScreen,_loadDashboard,AppShell,route,tous connectes,route visible,summary profile,oui,oui,oui,loading|loaded|partial_data|network_error|offline,P1,Une capture par role
V014,dashboard,R04,Dashboard,hero,embedded_panel,features/dashboard/screens/dashboard_screen.dart,_DashboardHero,_DashboardBody,Dashboard,chargement summary,tous connectes,route visible,profile counts,oui,oui,oui,loading|loaded|long_content,P2,Titre adapte au role
V015,dashboard,R04,Dashboard,metriques,embedded_panel,features/dashboard/screens/dashboard_screen.dart,_SummaryGrid,_DashboardBody,Dashboard,summary,tous connectes,route visible,counts,oui,oui,oui,loaded|partial_data|empty,P1,Grille responsive
V016,dashboard,R04,Dashboard,attention_activite,embedded_panel,features/dashboard/screens/dashboard_screen.dart,_AttentionPanel,_ActivityPanel,Dashboard,summary,tous connectes,route visible,alerts activity,oui,oui,oui,loaded|empty|partial_data,P1,Priorite quotidienne a verifier
V017,members,R05,Membres,liste,page,features/members/screens/members_screen.dart,MembersScreen,_loadMembers,AppShell,route,admin|team_leader|secretary|pole_lead|pole_deputy|project_lead,canViewMembersDirectory,members,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,Recherche et filtres
V018,members,R05,Membres,profil_detail,detail,features/members/screens/members_screen.dart,_MemberDetailSheet,local open,Membres,tap membre,roles membres,canViewMembersDirectory,member relations,oui,oui,oui,loaded|missing_image|long_content|permission_denied,P1,Roles historique finance presence
V019,members,R05,Membres,lifecycle,dialog,features/members/screens/members_screen.dart,_LifecycleChoiceDialog,local open,Membres,action statut,admin|team_leader|secretary,canManageMembers,member status,oui,oui,oui,default|destructive_confirmation|success,P1,Alumni suspend reactivate
V020,members,R05,Membres,import,bottom_sheet,features/members/screens/member_import_panel.dart,MemberImportPanel,FilePicker,Membres,import,admin|team_leader|secretary,canManageMembers,csv fixture,oui,oui,oui,default|loading|success|validation_error|partial_data,P1,Doublon et email
V021,attendance,R06,Presences,sessions,page,features/attendance/screens/attendance_screen.dart,AttendanceScreen,_loadSessions,AppShell,route,roles presence,canManageAttendance ou lead,sessions members,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V022,attendance,R06,Presences,formulaire_session,dialog,features/attendance/screens/attendance_screen.dart,_SessionFormDialog,showDialog,Presences,creer/modifier,roles presence,canManageAttendance,session poles projects,oui,oui,oui,default|validation_error|success|long_content,P1,Date et heure picker
V023,attendance,R06,Presences,detail_session,detail,features/attendance/screens/attendance_session_detail_screen.dart,AttendanceSessionDetailScreen,Navigator.push,Presences,tap session,roles presence,scope session,attendance records,oui,oui,oui,loading|loaded|partial_data|network_error,P1,Retour Navigator
V024,attendance,R07,Scanner QR,camera,page,features/attendance/screens/attendance_qr_scanner_screen.dart,AttendanceQrScannerScreen,scanner,AppShell,route,roles presence,attendance access,QR session camera,oui,oui,oui,default|permission_denied|offline|validation_error|success,P1,QR expire et token manuel
V025,attendance,R08,Enrolement NFC,badges,page,features/attendance/screens/attendance_nfc_enrollment_screen.dart,AttendanceNfcEnrollmentScreen,_load,AppShell,route,roles presence,attendance access,members badges device,oui,oui,oui,loading|empty|permission_denied|offline|success,P1,NFC device required
V026,attendance,local,Pointage NFC,checkin,embedded_panel,features/attendance/screens/attendance_nfc_checkin_screen.dart,AttendanceNfcCheckinScreen,checkin,Presence,section NFC,membre,attendance context,tag session,oui,oui,oui,default|offline|permission_denied|success,P2,
V027,tasks,R09,Taches,liste,page,features/tasks/screens/tasks_screen.dart,TasksScreen,_loadTasks,AppShell,route,tous non alumni,route visible,tasks filters,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V028,tasks,R09,Taches,formulaire,dialog,features/tasks/screens/tasks_screen.dart,_TaskFormDialog,showDialog,Taches,creer/modifier,enacchef,canCreateTasks,users poles projects,oui,oui,oui,default|validation_error|success|long_content,P1,Date picker attachment
V029,tasks,R09,Taches,detail_actions,detail,features/tasks/screens/tasks_screen.dart,_TaskCard,local action,Taches,tap/action,assignee and managers,task permissions,task comments files,oui,oui,oui,loaded|destructive_confirmation|repeated_action,P2,Etat bloque a confirmer
V030,finance,R10,Finance,dashboard,page,features/finance/screens/finance_screen.dart,FinanceScreen,_loadFinance,AppShell,route,admin|team_leader|finance,canViewFinance,accounts fees payments,oui,oui,oui,loading|loaded|empty|partial_data|server_error,P1,
V031,finance,R10,Finance,paiement_mobile,bottom_sheet,features/finance/widgets/mobile_money_payment_sheet.dart,MobileMoneyPaymentSheet,showModalBottomSheet,Finance,payer,membre eligible,payment access,fee transaction,oui,oui,oui,default|loading|validation_error|success|offline,P1,PayDunya disabled in RC
V032,finance,R10,Finance,formulaire_frais,dialog,features/finance/screens/finance_screen.dart,_FeeFormDialog,showDialog,Finance,create fee,finance managers,canManageFinance,member amount due date,oui,oui,oui,default|validation_error|success|destructive_confirmation,P1,
V033,documents,R12,Documents,bibliotheque,page,features/documents/screens/documents_screen.dart,DocumentsScreen,_loadDocuments,AppShell,route,tous non alumni,route visible,documents scope,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V034,documents,R12,Documents,depot_form,dialog,features/documents/screens/documents_screen.dart,_DocumentFormDialog,showDialog,Documents,depot,authorized uploaders,document file metadata,oui,oui,oui,default|validation_error|success|permission_denied,P1,FilePicker
V035,documents,R12,Documents,preview_actions,menu,features/documents/screens/documents_screen.dart,_DocumentRow,PopupMenuButton,Documents,menu document,document viewer,document permission,file url,oui,oui,oui,loaded|broken_image|permission_denied|destructive_confirmation,P2,
V036,recruitment,R11,Recrutement,administration,page,features/recruitment/screens/recruitment_screen.dart,RecruitmentScreen,_load,AppShell,route,recruitment roles,canViewRecruitment,campaigns applications,oui,oui,oui,loading|loaded|empty|server_error|permission_denied,P1,
V037,recruitment,R11,Recrutement,candidature_publique,form,features/recruitment/screens/recruitment_screen.dart,_ApplicationFormSheet,local open,Connexion,postuler,candidat,campaign open,campaign fields attachments,oui,oui,oui,default|validation_error|success|long_content,P1,Entry indirect from login
V038,recruitment,R11,Recrutement,evaluation_decision,dialog,features/recruitment/screens/recruitment_screen.dart,_ReviewDialog,showDialog,Recrutement,review candidate,recruitment roles,review permission,application evaluators,oui,oui,oui,default|success|destructive_confirmation|permission_denied,P1,
V039,posts,R14,Publications,fil,page,features/posts/screens/posts_screen.dart,PostsScreen,_loadPosts,AppShell,route,tous connectes,route visible,posts stats authors,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V040,posts,R14,Publications,composer,form,features/posts/screens/posts_screen.dart,_PostComposer,local state,Fil,create,tous with create right,post visibility,content media scopes,oui,oui,oui,default|validation_error|loading|success|permission_denied,P1,FilePicker media
V041,posts,R14,Publications,commentaires_detail,embedded_panel,features/posts/screens/posts_screen.dart,_CommentsSection,expand post,Fil,comments,tous connectes,post access,comments reactions,oui,oui,oui,loading|empty|long_content|repeated_action,P2,
V042,chat,R15,Chat,liste_conversations,page,features/chat/screens/chat_screen.dart,ChatScreen,_loadChat,AppShell,route,tous connectes,route visible,threads cache,oui,oui,oui,loading|loaded|empty|offline|server_error,P1,
V043,chat,R15,Chat,conversation,detail,features/chat/screens/chat_screen.dart,_ConversationPane,select thread,Chat,thread select,participants,thread messages presence,oui,oui,oui,loading|empty|offline|slow_loading|long_content,P1,
V044,chat,R15,Chat,actions_message,menu,features/chat/screens/chat_screen.dart,_MessageBubble,_openMessageActions,Conversation,press message,participants and admins,message ownership,reply reaction pin delete,oui,oui,oui,default|destructive_confirmation|permission_denied,P1,
V045,chat,R15,Chat,creation_groupe,dialog,features/chat/screens/chat_screen.dart,_ThreadCreateDialog,showDialog,Chat,new chat,eligible users,thread create,members poles projects,oui,oui,oui,default|validation_error|success|long_content,P1,
V046,notifications,R13,Notifications,centre,page,features/notifications/screens/notifications_screen.dart,NotificationsScreen,_loadNotifications,AppShell,route,tous connectes,route visible,notifications routes,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V047,notifications,R13,Notifications,actions,menu,features/notifications/screens/notifications_screen.dart,_NotificationTile,PopupMenuButton,Centre,tap/menu,tous connectes,target access,notification target,oui,oui,oui,default|permission_denied|server_error|destructive_confirmation,P2,
V048,poles,R16,Poles,liste,page,features/poles/screens/poles_screen.dart,PolesScreen,_loadPoles,AppShell,route,enacchef,isEnacchef,poles members,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V049,poles,R16,Poles,fiche_detail,bottom_sheet,features/poles/screens/poles_screen.dart,_PoleDetailSheet,showModalBottomSheet,Poles,tap pole,enacchef,pole scope,members objectives docs tasks,oui,oui,oui,loaded|partial_data|long_content|permission_denied,P1,
V050,poles,R16,Poles,formulaire,bottom_sheet,features/poles/screens/poles_screen.dart,_PoleFormSheet,showModalBottomSheet,Poles,create edit,admin team leader,pole manage,members goals,oui,oui,oui,default|validation_error|success|destructive_confirmation,P1,
V051,projects,R17,Projets,liste,page,features/projects/screens/projects_screen.dart,ProjectsScreen,_loadProjects,AppShell,route,enacchef,isEnacchef,projects,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V052,projects,R17,Projets,fiche_detail,bottom_sheet,features/projects/screens/projects_screen.dart,_ProjectDetailSheet,showModalBottomSheet,Projets,tap project,enacchef,project scope,team budget tasks docs,oui,oui,oui,loaded|partial_data|long_content|permission_denied,P1,
V053,projects,R17,Projets,formulaire,bottom_sheet,features/projects/screens/projects_screen.dart,_ProjectFormSheet,showModalBottomSheet,Projets,create edit,admin team leader,project manage,poles members dates,oui,oui,oui,default|validation_error|success|destructive_confirmation,P1,
V054,events,R18,Evenements,liste,page,features/events/screens/events_screen.dart,EventsScreen,_loadEvents,AppShell,route,tous connectes,route visible,events participants,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V055,events,R18,Evenements,detail,dialog,features/events/screens/events_screen.dart,_EventDetailDialog,showDialog,Evenements,tap event,tous with event scope,event access,participants budget docs,oui,oui,oui,loaded|partial_data|long_content|permission_denied,P1,
V056,events,R18,Evenements,formulaire,bottom_sheet,features/events/screens/events_screen.dart,_EventFormSheet,showModalBottomSheet,Evenements,create edit,authorized runtime,event manage,dates participants budget,oui,oui,oui,default|validation_error|success|destructive_confirmation,P1,
V057,alumni,R19,Alumni,annuaire,page,features/alumni/screens/alumni_screen.dart,AlumniScreen,_loadAlumni,AppShell,route,alumni and selected leaders,route visible,alumni profiles,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V058,alumni,R19,Alumni,mentorat,tab,features/alumni/screens/alumni_screen.dart,_MentorshipTab,TabBar,Alumni,tab select,alumni access,mentorship requests,oui,oui,oui,loaded|empty|permission_denied,P2,Only explicit TabBar
V059,gamification,R20,Gamification,classement,page,features/gamification/screens/gamification_screen.dart,GamificationScreen,_load,AppShell,route,tous non alumni,route visible,points badges,oui,oui,oui,loading|loaded|empty|server_error,P1,
V060,gamification,R20,Gamification,attribution,dialog,features/gamification/screens/gamification_screen.dart,_PointDialog,showDialog,Gamification,award points,admin team leader secretary,canManageGamification,members poles reasons,oui,oui,oui,default|validation_error|success|permission_denied,P1,
V061,academy,R21,Academy,catalogue,page,features/academy/screens/academy_home_screen.dart,AcademyHomeScreen,_load,AppShell,route,tous connectes,route visible,courses cases,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P2,
V062,academy,R21,Academy,detail_cours,bottom_sheet,features/academy/screens/academy_home_screen.dart,_CourseDetailSheet,showModalBottomSheet,Academy,tap course,tous connectes,course access,course resource progress,oui,oui,oui,loaded|long_content|offline|success,P2,
V063,impact,R23,Impact,dashboard,page,features/impact/screens/impact_dashboard_screen.dart,ImpactDashboardScreen,_load,AppShell,route,enacchef,canViewImpact,indicators proofs,oui,oui,oui,loading|loaded|empty|partial_data|server_error,P1,
V064,impact,R23,Impact,filtre_periode,bottom_sheet,features/impact/screens/impact_dashboard_screen.dart,_PeriodFilterSheet,showModalBottomSheet,Impact,filter,enacchef,canViewImpact,periods projects,oui,oui,oui,default|empty|long_content,P2,
V065,archives,R22,Archives,explorateur,page,features/archives/screens/archives_screen.dart,ArchivesScreen,_load,AppShell,route,tous connectes,route visible,archive years items,oui,oui,oui,loading|loaded|empty|filtered_empty|server_error,P1,
V066,archives,R22,Archives,detail_archive,bottom_sheet,features/archives/screens/archives_screen.dart,_ArchiveDetailSheet,showModalBottomSheet,Archives,tap item,tous connectes,archive visibility,media recit links,oui,oui,oui,loaded|missing_image|broken_image|long_content,P1,
